,full_name,緯度,経度
0,北海道札幌市中央区旭ケ丘一丁目,43.04223,141.319722
1,北海道札幌市中央区旭ケ丘二丁目,43.039768,141.321733
2,北海道札幌市中央区旭ケ丘三丁目,43.039569,141.319617
3,北海道札幌市中央区旭ケ丘四丁目,43.038819,141.32304
4,北海道札幌市中央区旭ケ丘五丁目,43.036547,141.322217
5,北海道札幌市中央区旭ケ丘六丁目,43.037676,141.318922
6,北海道札幌市中央区大通西十丁目,43.059131,141.341914
7,北海道札幌市中央区大通西十一丁目,43.058906,141.34036
8,北海道札幌市中央区大通西十二丁目,43.058673,141.338831
9,北海道札幌市中央区大通西十三丁目,43.058456,141.337283
10,北海道札幌市中央区大通西十四丁目,43.058274,141.335727
11,北海道札幌市中央区大通西十五丁目,43.058085,141.334155
12,北海道札幌市中央区大通西十六丁目,43.057873,141.33259
13,北海道札幌市中央区大通西十七丁目,43.057661,141.331028
14,北海道札幌市中央区大通西十八丁目,43.057449,141.329491
15,北海道札幌市中央区大通西十九丁目,43.057233,141.327933
16,北海道札幌市中央区大通西一丁目,43.061017,141.356364
17,北海道札幌市中央区大通西二十丁目,43.057218,141.326249
18,北海道札幌市中央区大通西二十一丁目,43.057136,141.324987
19,北海道札幌市中央区大通西二十二丁目,43.056988,141.32363
20,北海道札幌市中央区大通西二十三丁目,43.0568,141.32228
21,北海道札幌市中央区大通西二十四丁目,43.056707,141.320761
22,北海道札幌市中央区大通西二十五丁目,43.056346,141.319514
23,北海道札幌市中央区大通西二十六丁目,43.056156,141.318176
24,北海道札幌市中央区大通西二十七丁目,43.056022,141.316522
25,北海道札幌市中央区大通西二十八丁目,43.055779,141.314698
26,北海道札幌市中央区大通西二丁目,43.060797,141.354447
27,北海道札幌市中央区大通西三丁目,43.060858,141.35275
28,北海道札幌市中央区大通西四丁目,43.060386,141.35126
29,北海道札幌市中央区大通西五丁目,43.060166,141.349754
30,北海道札幌市中央区大通西六丁目,43.059916,141.348201
31,北海道札幌市中央区大通西七丁目,43.059742,141.34663
32,北海道札幌市中央区大通西八丁目,43.059574,141.345058
33,北海道札幌市中央区大通西九丁目,43.05935,141.343501
34,北海道札幌市中央区大通東十丁目,43.064148,141.372048
35,北海道札幌市中央区大通東十一丁目,43.064585,141.373969
36,北海道札幌市中央区大通東十二丁目,43.06501,141.375916
37,北海道札幌市中央区大通東十三丁目,43.065476,141.37778
38,北海道札幌市中央区大通東十四丁目,43.066055,141.380447
39,北海道札幌市中央区大通東一丁目,43.061993,141.357779
40,北海道札幌市中央区大通東二丁目,43.062128,141.359456
41,北海道札幌市中央区大通東三丁目,43.06221,141.361058
42,北海道札幌市中央区大通東四丁目,43.062463,141.362827
43,北海道札幌市中央区大通東五丁目,43.062815,141.364282
44,北海道札幌市中央区大通東六丁目,43.063032,141.365785
45,北海道札幌市中央区大通東七丁目,43.063186,141.367297
46,北海道札幌市中央区大通東八丁目,43.063429,141.368773
47,北海道札幌市中央区大通東九丁目,43.063773,141.370381
48,北海道札幌市中央区北十条西十四丁目,43.070416,141.332239
49,北海道札幌市中央区北十条西十五丁目,43.070637,141.330969
50,北海道札幌市中央区北十条西十六丁目,43.070386,141.329404
51,北海道札幌市中央区北十条西十七丁目,43.070173,141.327859
52,北海道札幌市中央区北十条西十八丁目,43.069961,141.326302
53,北海道札幌市中央区北十条西十九丁目,43.069746,141.324742
54,北海道札幌市中央区北十条西二十丁目,43.069529,141.323187
55,北海道札幌市中央区北十条西二十一丁目,43.069474,141.321595
56,北海道札幌市中央区北十条西二十二丁目,43.069199,141.320499
57,北海道札幌市中央区北十条西二十三丁目,43.068986,141.31945
58,北海道札幌市中央区北十条西二十四丁目,43.069501,141.317954
59,北海道札幌市中央区北十一条西十三丁目,43.071273,141.335039
60,北海道札幌市中央区北十一条西十四丁目,43.072783,141.33344
61,北海道札幌市中央区北十一条西十五丁目,43.071082,141.332067
62,北海道札幌市中央区北十一条西十六丁目,43.071555,141.329043
63,北海道札幌市中央区北十一条西十七丁目,43.071354,141.327557
64,北海道札幌市中央区北十一条西十八丁目,43.071093,141.326022
65,北海道札幌市中央区北十一条西十九丁目,43.07088,141.324461
66,北海道札幌市中央区北十一条西二十丁目,43.07069,141.322896
67,北海道札幌市中央区北十一条西二十一丁目,43.070573,141.321339
68,北海道札幌市中央区北十一条西二十二丁目,43.070493,141.320218
69,北海道札幌市中央区北十一条西二十三丁目,43.070019,141.319435
70,北海道札幌市中央区北十一条西二十四丁目,43.070598,141.318309
71,北海道札幌市中央区北十二条西十五丁目,43.07267,141.330941
72,北海道札幌市中央区北十二条西十六丁目,43.072425,141.328857
73,北海道札幌市中央区北十二条西十七丁目,43.072443,141.327321
74,北海道札幌市中央区北十二条西十八丁目,43.072266,141.325747
75,北海道札幌市中央区北十二条西十九丁目,43.072027,141.324176
76,北海道札幌市中央区北十二条西二十丁目,43.073117,141.321139
77,北海道札幌市中央区北十二条西二十三丁目,43.071253,141.318917
78,北海道札幌市中央区北十三条西十五丁目,43.073896,141.331349
79,北海道札幌市中央区北十三条西十六丁目,43.073573,141.328417
80,北海道札幌市中央区北十三条西十七丁目,43.073277,141.327041
81,北海道札幌市中央区北十三条西十八丁目,43.073319,141.325366
82,北海道札幌市中央区北十三条西十九丁目,43.07333,141.323843
83,北海道札幌市中央区北十四条西十五丁目,43.075083,141.331369
84,北海道札幌市中央区北十四条西十八丁目,43.074007,141.325403
85,北海道札幌市中央区北十四条西十九丁目,43.074029,141.323833
86,北海道札幌市中央区北十四条西二十丁目,43.074842,141.321375
87,北海道札幌市中央区北十五条西十五丁目,43.076849,141.330731
88,北海道札幌市中央区北十五条西十九丁目,43.074483,141.32429
89,北海道札幌市中央区北十六条西十五丁目,43.077958,141.330489
90,北海道札幌市中央区北十六条西十六丁目,43.077659,141.325821
91,北海道札幌市中央区北十六条西二十丁目,43.075162,141.322766
92,北海道札幌市中央区北十六条西二十一丁目,43.075782,141.320814
93,北海道札幌市中央区北十七条西十五丁目,43.078942,141.330265
94,北海道札幌市中央区北十八条西十五丁目,43.08045,141.329941
95,北海道札幌市中央区北一条西十丁目,43.060951,141.341495
96,北海道札幌市中央区北一条西十一丁目,43.060726,141.339926
97,北海道札幌市中央区北一条西十二丁目,43.060483,141.33837
98,北海道札幌市中央区北一条西十三丁目,43.06026,141.336825
99,北海道札幌市中央区北一条西十四丁目,43.060082,141.335261
100,北海道札幌市中央区北一条西十五丁目,43.059907,141.333709
101,北海道札幌市中央区北一条西十六丁目,43.059689,141.332147
102,北海道札幌市中央区北一条西十七丁目,43.059475,141.330571
103,北海道札幌市中央区北一条西十八丁目,43.059263,141.329015
104,北海道札幌市中央区北一条西十九丁目,43.059042,141.327455
105,北海道札幌市中央区北一条西一丁目,43.062833,141.355697
106,北海道札幌市中央区北一条西二十丁目,43.058892,141.325884
107,北海道札幌市中央区北一条西二十一丁目,43.058649,141.32452
108,北海道札幌市中央区北一条西二十二丁目,43.058486,141.323258
109,北海道札幌市中央区北一条西二十三丁目,43.058305,141.32192
110,北海道札幌市中央区北一条西二十四丁目,43.058122,141.320568
