,郵便番号,full_name
0,0600000,北海道札幌市中央区以下に掲載がない場合
1,0640941,北海道札幌市中央区旭ケ丘
2,0600041,北海道札幌市中央区大通東
3,0600042,北海道札幌市中央区大通西（１〜１９丁目）
4,0640820,北海道札幌市中央区大通西（２０〜２８丁目）
5,0600031,北海道札幌市中央区北一条東
6,0600001,北海道札幌市中央区北一条西（１〜１９丁目）
7,0640821,北海道札幌市中央区北一条西（２０〜２８丁目）
8,0600032,北海道札幌市中央区北二条東
9,0600002,北海道札幌市中央区北二条西（１〜１９丁目）
10,0640822,北海道札幌市中央区北二条西（２０〜２８丁目）
11,0600033,北海道札幌市中央区北三条東
12,0600003,北海道札幌市中央区北三条西（１〜１９丁目）
13,0640823,北海道札幌市中央区北三条西（２０〜３０丁目）
14,0600034,北海道札幌市中央区北四条東（１〜８丁目）
15,0600004,北海道札幌市中央区北四条西（１〜１９丁目）
16,0640824,北海道札幌市中央区北四条西（２０〜３０丁目）
17,0600035,北海道札幌市中央区北五条東
18,0600005,北海道札幌市中央区北五条西（１〜２４丁目）
19,0640825,北海道札幌市中央区北五条西（２５〜２９丁目）
20,0600006,北海道札幌市中央区北六条西（１０〜２５丁目）
21,0640826,北海道札幌市中央区北六条西（２６〜２８丁目）
22,0600007,北海道札幌市中央区北七条西
23,0600008,北海道札幌市中央区北八条西
24,0600009,北海道札幌市中央区北九条西
25,0600010,北海道札幌市中央区北十条西
26,0600011,北海道札幌市中央区北十一条西
27,0600012,北海道札幌市中央区北十二条西
28,0600013,北海道札幌市中央区北十三条西
29,0600014,北海道札幌市中央区北十四条西
30,0600015,北海道札幌市中央区北十五条西
31,0600016,北海道札幌市中央区北十六条西
32,0600017,北海道札幌市中央区北十七条西
33,0600018,北海道札幌市中央区北十八条西
34,0600020,北海道札幌市中央区北二十条西
35,0600021,北海道札幌市中央区北二十一条西
36,0600022,北海道札幌市中央区北二十二条西
37,0640943,北海道札幌市中央区界川
38,0640931,北海道札幌市中央区中島公園
39,0640945,北海道札幌市中央区盤渓
40,0640942,北海道札幌市中央区伏見
41,0640946,北海道札幌市中央区双子山
42,0640944,北海道札幌市中央区円山西町
43,0600051,北海道札幌市中央区南一条東
44,0600061,北海道札幌市中央区南一条西（１〜１９丁目）
45,0640801,北海道札幌市中央区南一条西（２０〜２８丁目）
46,0600052,北海道札幌市中央区南二条東
47,0600062,北海道札幌市中央区南二条西（１〜１９丁目）
48,0640802,北海道札幌市中央区南二条西（２０〜２８丁目）
49,0600053,北海道札幌市中央区南三条東
50,0600063,北海道札幌市中央区南三条西（１〜１８丁目）
51,0640803,北海道札幌市中央区南三条西（２０〜２８丁目）
52,0600054,北海道札幌市中央区南四条東
53,0640804,北海道札幌市中央区南四条西
54,0600055,北海道札幌市中央区南五条東
55,0640805,北海道札幌市中央区南五条西
56,0600056,北海道札幌市中央区南六条東
57,0640806,北海道札幌市中央区南六条西
58,0600057,北海道札幌市中央区南七条東
