"都道府県コード","都道府県名","都道府県名カナ","都道府県名ローマ字","市区町村コード","市区町村名","市区町村名カナ","市区町村名ローマ字","大字町丁目名","大字町丁目名カナ","大字町丁目名ローマ字","小字・通称名","緯度","経度"
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","古波蔵一丁目","コハグラ 1","KOHAGURA 1",,26.199562,127.691306
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","真嘉比一丁目","マカビ 1","MAKABI 1",,26.222671,127.700862
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","楚辺三丁目","ソベ 3","SOBE 3",,26.207035,127.683173
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","宇栄原六丁目","ウエバル 6","UEBARU 6",,26.184452,127.665806
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","宇栄原五丁目","ウエバル 5","UEBARU 5",,26.186091,127.66699
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","宇栄原四丁目","ウエバル 4","UEBARU 4",,26.185664,127.671191
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","壺川一丁目","ツボガワ 1","TSUBOGAWA 1",,26.20583,127.681725
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","小禄五丁目","オロク 5","OROKU 5",,26.191872,127.67409
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","小禄二丁目","オロク 2","OROKU 2",,26.190858,127.675595
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","小禄四丁目","オロク 4","OROKU 4",,26.189247,127.672172
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","小禄三丁目","オロク 3","OROKU 3",,26.187968,127.673625
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","銘苅三丁目","メカル 3","MEKARU 3",,26.234646,127.699143
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安謝二丁目","アジャ 2","AJA 2",,26.236112,127.690279
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安謝一丁目","アジャ 1","AJA 1",,26.235369,127.694564
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字銘苅",,,,26.236129,127.699544
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字安謝",,,,26.238942,127.689789
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","曙二丁目","アケボノ 2","AKEBONO 2",,26.239992,127.682645
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","曙三丁目","アケボノ 3","AKEBONO 3",,26.242252,127.685134
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","港町三丁目","ミナトマチ 3","MINATOMACHI 3",,26.244798,127.675857
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","港町四丁目","ミナトマチ 4","MINATOMACHI 4",,26.244032,127.671219
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","港町二丁目","ミナトマチ 2","MINATOMACHI 2",,26.242447,127.677165
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里石嶺町四丁目","シュリイシミネチョウ 4","SHURI ISHIMINECHO 4",,26.232425,127.733362
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里石嶺町三丁目","シュリイシミネチョウ 3","SHURI ISHIMINECHO 3",,26.231054,127.726001
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里石嶺町一丁目","シュリイシミネチョウ 1","SHURI ISHIMINECHO 1",,26.22618,127.725259
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里儀保町一丁目","シュリギボチョウ 1","SHURI GIBOCHO 1",,26.22369,127.718837
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里儀保町三丁目","シュリギボチョウ 3","SHURI GIBOCHO 3",,26.225635,127.718938
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里久場川町一丁目","シュリクバガワチョウ 1","SHURI KUBAGAWACHO 1",,26.225692,127.721479
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里平良町二丁目","シュリタイラチョウ 2","SHURI TAIRACHO 2",,26.228652,127.718044
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里大名町三丁目","シュリオオナチョウ 3","SHURI ONACHO 3",,26.231515,127.721468
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里平良町一丁目","シュリタイラチョウ 1","SHURI TAIRACHO 1",,26.229139,127.720857
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里大名町二丁目","シュリオオナチョウ 2","SHURI ONACHO 2",,26.231721,127.718094
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里儀保町二丁目","シュリギボチョウ 2","SHURI GIBOCHO 2",,26.224205,127.717622
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","真嘉比二丁目","マカビ 2","MAKABI 2",,26.225787,127.702179
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","古島一丁目","フルジマ 1","FURUJIMA 1",,26.229366,127.704115
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里末吉町四丁目","シュリスエヨシチョウ 4","SHURI SUEYOSHICHO 4",,26.229062,127.708778
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里末吉町三丁目","シュリスエヨシチョウ 3","SHURI SUEYOSHICHO 3",,26.233004,127.706865
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","真嘉比三丁目","マカビ 3","MAKABI 3",,26.224135,127.70489
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松島二丁目","マツシマ 2","MATSUSHIMA 2",,26.225357,127.710673
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松島一丁目","マツシマ 1","MATSUSHIMA 1",,26.222964,127.706398
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字古島",,,,26.231481,127.703568
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里桃原町一丁目","シュリトウバルチョウ 1","SHURI TOBARUCHO 1",,26.223606,127.713986
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","古島二丁目","フルジマ 2","FURUJIMA 2",,26.22701,127.7076
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里末吉町二丁目","シュリスエヨシチョウ 2","SHURI SUEYOSHICHO 2",,26.230701,127.709895
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里末吉町一丁目","シュリスエヨシチョウ 1","SHURI SUEYOSHICHO 1",,26.228001,127.714014
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里大名町一丁目","シュリオオナチョウ 1","SHURI ONACHO 1",,26.231359,127.714593
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里桃原町二丁目","シュリトウバルチョウ 2","SHURI TOBARUCHO 2",,26.224365,127.715462
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里儀保町四丁目","シュリギボチョウ 4","SHURI GIBOCHO 4",,26.225878,127.716403
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","銘苅一丁目","メカル 1","MEKARU 1",,26.230445,127.701255
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","銘苅二丁目","メカル 2","MEKARU 2",,26.232268,127.697664
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち三丁目","オモロマチ 3","OMOROMACHI 3",,26.228821,127.694567
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","天久一丁目","アメク 1","AMEKU 1",,26.231555,127.691517
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","天久二丁目","アメク 2","AMEKU 2",,26.232981,127.687694
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","上之屋一丁目","ウエノヤ 1","UENOYA 1",,26.227585,127.688016
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字天久",,,,26.234746,127.684287
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち二丁目","オモロマチ 2","OMOROMACHI 2",,26.225955,127.691279
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","曙一丁目","アケボノ 1","AKEBONO 1",,26.235033,127.682048
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","港町一丁目","ミナトマチ 1","MINATOMACHI 1",,26.236646,127.677574
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字上之屋",,,,26.229674,127.683866
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","泊三丁目","トマリ 3","TOMARI 3",,26.226959,127.683247
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","泊二丁目","トマリ 2","TOMARI 2",,26.224964,127.687296
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里石嶺町二丁目","シュリイシミネチョウ 2","SHURI ISHIMINECHO 2",,26.222972,127.732605
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里赤平町二丁目","シュリアカヒラチョウ 2","SHURI AKAHIRACHO 2",,26.223856,127.720962
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里久場川町二丁目","シュリクバガワチョウ 2","SHURI KUBAGAWACHO 2",,26.222583,127.725892
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里赤平町一丁目","シュリアカヒラチョウ 1","SHURI AKAHIRACHO 1",,26.222181,127.720364
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里汀良町二丁目","シュリテラチョウ 2","SHURI TERACHO 2",,26.220656,127.723729
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里汀良町三丁目","シュリテラチョウ 3","SHURI TERACHO 3",,26.220317,127.726774
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里赤田町三丁目","シュリアカタチョウ 3","SHURI AKATACHO 3",,26.214146,127.726126
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里鳥堀町三丁目","シュリトリホリチョウ 3","SHURI TORIHORICHO 3",,26.216833,127.725986
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里鳥堀町五丁目","シュリトリホリチョウ 5","SHURI TORIHORICHO 5",,26.216127,127.728222
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里崎山町三丁目","シュリサキヤマチョウ 3","SHURI SAKIYAMACHO 3",,26.212626,127.72456
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里鳥堀町二丁目","シュリトリホリチョウ 2","SHURI TORIHORICHO 2",,26.216959,127.724687
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里赤田町二丁目","シュリアカタチョウ 2","SHURI AKATACHO 2",,26.216011,127.723493
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里鳥堀町四丁目","シュリトリホリチョウ 4","SHURI TORIHORICHO 4",,26.219079,127.729971
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里崎山町二丁目","シュリサキヤマチョウ 2","SHURI SAKIYAMACHO 2",,26.214904,127.723391
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里赤田町一丁目","シュリアカタチョウ 1","SHURI AKATACHO 1",,26.216998,127.722082
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里鳥堀町一丁目","シュリトリホリチョウ 1","SHURI TORIHORICHO 1",,26.217538,127.723631
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里崎山町一丁目","シュリサキヤマチョウ 1","SHURI SAKIYAMACHO 1",,26.214789,127.720976
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里金城町四丁目","シュリキンジョウチョウ 4","SHURI KINJOCHO 4",,26.212956,127.719276
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里汀良町一丁目","シュリテラチョウ 1","SHURI TERACHO 1",,26.219909,127.722469
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里当蔵町二丁目","シュリトウノクラチョウ 2","SHURI TONOKURACHO 2",,26.220132,127.720649
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里当蔵町三丁目","シュリトウノクラチョウ 3","SHURI TONOKURACHO 3",,26.217548,127.719427
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里当蔵町一丁目","シュリトウノクラチョウ 1","SHURI TONOKURACHO 1",,26.220379,127.718835
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里池端町","シュリイケハタチョウ","SHURI IKEHATACHO",,26.220371,127.716075
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里大中町一丁目","シュリオオナカチョウ 1","SHURI ONAKACHO 1",,26.221628,127.71648
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里大中町二丁目","シュリオオナカチョウ 2","SHURI ONAKACHO 2",,26.222685,127.714843
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里山川町二丁目","シュリヤマガワチョウ 2","SHURI YAMAGAWACHO 2",,26.223549,127.71198
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里金城町三丁目","シュリキンジョウチョウ 3","SHURI KINJOCHO 3",,26.215094,127.716536
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里金城町二丁目","シュリキンジョウチョウ 2","SHURI KINJOCHO 2",,26.215815,127.71372
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里金城町一丁目","シュリキンジョウチョウ 1","SHURI KINJOCHO 1",,26.216898,127.716181
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里真和志町一丁目","シュリマワシチョウ 1","SHURI MAWASHICHO 1",,26.219217,127.716857
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里真和志町二丁目","シュリマワシチョウ 2","SHURI MAWASHICHO 2",,26.219529,127.713713
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里山川町一丁目","シュリヤマガワチョウ 1","SHURI YAMAGAWACHO 1",,26.220663,127.712393
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","繁多川三丁目","ハンタガワ 3","HANTAGAWA 3",,26.214004,127.711466
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里山川町三丁目","シュリヤマガワチョウ 3","SHURI YAMAGAWACHO 3",,26.220219,127.708793
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里寒川町一丁目","シュリサムカワチョウ 1","SHURI SAMUKAWACHO 1",,26.217332,127.711456
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","首里寒川町二丁目","シュリサムカワチョウ 2","SHURI SAMUKAWACHO 2",,26.218089,127.708823
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川三丁目","マツガワ 3","MATSUGAWA 3",,26.215961,127.707067
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字松川",,,,26.219469,127.705042
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち一丁目","オモロマチ 1","OMOROMACHI 1",,26.223619,127.694669
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","おもろまち四丁目","オモロマチ 4","OMOROMACHI 4",,26.225571,127.696701
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川一丁目","マツガワ 1","MATSUGAWA 1",,26.214325,127.703179
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","松川二丁目","マツガワ 2","MATSUGAWA 2",,26.217009,127.702075
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字大道",,,,26.218866,127.699278
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里三丁目","アサト 3","ASATO 3",,26.220181,127.696607
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","字安里",,,,26.21835,127.697251
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","牧志二丁目","マキシ 2","MAKISHI 2",,26.218221,127.689529
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","泊一丁目","トマリ 1","TOMARI 1",,26.222385,127.689187
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","牧志三丁目","マキシ 3","MAKISHI 3",,26.215224,127.689835
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里二丁目","アサト 2","ASATO 2",,26.21679,127.695192
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","安里一丁目","アサト 1","ASATO 1",,26.219079,127.693349
"47","沖縄県","オキナワケン","OKINAWA KEN","47201","那覇市","ナハシ","NAHA SHI","辻三丁目","ツジ 3","TSUJI 3",,26.220214,127.668078
