4:"0600042","北海道","札幌市　中央区","大通西（１〜１９丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","ODORINISHI(1-19-CHOME)"
523:"0050865","北海道","札幌市　南区","常盤（１〜１３１番地）","HOKKAIDO","SAPPORO SHI MINAMI KU","TOKIWA(1-131-BANCHI)"
1718:"0800029","北海道","帯広市","西十九条南（３５〜３８、４１、４２","HOKKAIDO","OBIHIRO SHI","NISHI19-JOMINAMI(35-38.41.42-CHOME)"
1736:"0802333","北海道","帯広市","美栄町（西５〜８線７９〜１１０番地","HOKKAIDO","OBIHIRO SHI","BIEICHO(NISHI5-8-SEN79-110-BANCHI)"
1758:"0802332","北海道","帯広市","富士町（西４〜８線４９〜７８番地）","HOKKAIDO","OBIHIRO SHI","FUJICHO(NISHI4-8-SEN49-78-BANCHI)"
2311:"0770013","北海道","留萌市","留萌原野（１〜１２線）","HOKKAIDO","RUMOI SHI","RUMOIGENYA(1-12-SEN)"
3290:"0741164","北海道","深川市","音江町（国見２３〜２９８番地）","HOKKAIDO","FUKAGAWA SHI","OTOECHO(KUNIMI23-298-BANCHI)"
3780:"0613774","北海道","石狩郡　当別町","川下（７８２−１３、５３６３−７〜","HOKKAIDO","ISHIKARI GUN TOBETSU CHO","KAWASHIMO(782-13.5363-7-8.5382-3.54"
3781:"0613774","北海道","石狩郡　当別町","−４、５４０７−５、５４４５〜５４","HOKKAIDO","ISHIKARI GUN TOBETSU CHO","-4.5407-5.5445-5446-4-BANCHI)"
5917:"0920171","北海道","網走郡　美幌町","美富（１２７〜１５１、１８３〜５７","HOKKAIDO","ABASHIRI GUN BIHORO CHO","MITOMI(127-151.183-579-BANCHI)"
6653:"0580343","北海道","幌泉郡　えりも町","東洋（油駒、南東洋、１３２〜１５６","HOKKAIDO","HOROIZUMI GUN ERIMO CHO","TOYO(ABURAKOMA.MINAMITOYO.132-156.1"
6823:"0801218","北海道","河東郡　士幌町","士幌西（１条〜３条）","HOKKAIDO","KATO GUN SHIHORO CHO","SHIHORONISHI(1-JO-3-JO)"
6826:"0801210","北海道","河東郡　士幌町","士幌東（１線〜１９線）","HOKKAIDO","KATO GUN SHIHORO CHO","SHIHOROHIGASHI(1-SEN-19-SEN)"
7342:"0893672","北海道","中川郡　本別町","追名牛（６７−４〜１１３−７番地）","HOKKAIDO","NAKAGAWA GUN HOMBETSU CHO","OINAUSHI(67-4-113-7-BANCHI)"
7364:"0893443","北海道","中川郡　本別町","西美里別（１１３〜７９１番地、西活","HOKKAIDO","NAKAGAWA GUN HOMBETSU CHO","NISHIBIRIBETSU
(113-791-BANCHI.NISHI"
7641:"0880874","北海道","厚岸郡　厚岸町","門静（４丁目５５〜１１４番地）","HOKKAIDO","AKKESHI GUN AKKESHI CHO","MONSHIZU(4-CHOME55-114-BANCHI)"
10185:"0330072","青森県","上北郡　六戸町","折茂（今熊「２１３〜２３４、２４０","AOMORI KEN","KAMIKITA GUN ROKUNOHE MACHI","ORIMO(IMAKUMA<213-234.240.247.262.2"
10723:"0200066","岩手県","盛岡市","上田（１〜４丁目、北山）","IWATE KEN","MORIOKA SHI","UEDA(1-4-CHOME.KITAYAMA)"
10891:"0282402","岩手県","宮古市","川井（第９地割〜第１１地割）","IWATE KEN","MIYAKO SHI","KAWAI(DAI9-CHIWARI-DAI11-CHIWARI)"
10997:"0282504","岩手県","宮古市","箱石（第２地割「７０〜１３６」〜第","IWATE KEN","MIYAKO SHI","HAKOISHI(DAI2-CHIWARI<70-136>-DAI4-"
