,郵便番号,full_name,緯度,経度
0,0600000,北海道札幌市中央区以下に掲載がない場合,43.04223,141.319722
1,0640941,北海道札幌市中央区旭ケ丘,43.04223,141.319722
2,0600041,北海道札幌市中央区大通東,43.064148,141.372048
3,0600042,北海道札幌市中央区大通西（１〜１９丁目）,43.059131,141.341914
4,0640820,北海道札幌市中央区大通西（２０〜２８丁目）,43.059131,141.341914
5,0600031,北海道札幌市中央区北一条東,43.065394,141.372054
6,0600001,北海道札幌市中央区北一条西（１〜１９丁目）,43.060951,141.341495
7,0640821,北海道札幌市中央区北一条西（２０〜２８丁目）,43.060951,141.341495
8,0600032,北海道札幌市中央区北二条東,43.066575,141.371755
9,0600002,北海道札幌市中央区北二条西（１〜１９丁目）,43.062396,141.341152
10,0640822,北海道札幌市中央区北二条西（２０〜２８丁目）,43.062396,141.341152
11,0600033,北海道札幌市中央区北三条東,43.06772,141.371454
12,0600003,北海道札幌市中央区北三条西（１〜１９丁目）,43.06358,141.340873
13,0640823,北海道札幌市中央区北三条西（２０〜３０丁目）,43.06358,141.340873
14,0600034,北海道札幌市中央区北四条東（１〜８丁目）,43.066954,141.356524
15,0600004,北海道札幌市中央区北四条西（１〜１９丁目）,43.064774,141.340535
16,0640824,北海道札幌市中央区北四条西（２０〜３０丁目）,43.064774,141.340535
17,0600035,北海道札幌市中央区北五条東,43.068034,141.35625
18,0600005,北海道札幌市中央区北五条西（１〜２４丁目）,43.06593,141.340193
19,0640825,北海道札幌市中央区北五条西（２５〜２９丁目）,43.06593,141.340193
20,0600006,北海道札幌市中央区北六条西（１０〜２５丁目）,43.066981,141.340017
21,0640826,北海道札幌市中央区北六条西（２６〜２８丁目）,43.066981,141.340017
22,0600007,北海道札幌市中央区北七条西,43.067703,141.337897
23,0600008,北海道札幌市中央区北八条西,43.068633,141.335915
24,0600009,北海道札幌市中央区北九条西,43.06964,141.334116
25,0600010,北海道札幌市中央区北十条西,43.070416,141.332239
26,0600011,北海道札幌市中央区北十一条西,43.071273,141.335039
27,0600012,北海道札幌市中央区北十二条西,43.07267,141.330941
28,0600013,北海道札幌市中央区北十三条西,43.073896,141.331349
29,0600014,北海道札幌市中央区北十四条西,43.075083,141.331369
30,0600015,北海道札幌市中央区北十五条西,43.076849,141.330731
31,0600016,北海道札幌市中央区北十六条西,43.077958,141.330489
32,0600017,北海道札幌市中央区北十七条西,43.078942,141.330265
33,0600018,北海道札幌市中央区北十八条西,43.08045,141.329941
34,0600020,北海道札幌市中央区北二十条西,43.082495,141.328326
35,0600021,北海道札幌市中央区北二十一条西,43.084055,141.328661
36,0600022,北海道札幌市中央区北二十二条西,43.085343,141.328444
37,0640943,北海道札幌市中央区界川,43.041232,141.318139
