,郵便番号,full_name,緯度,経度
0,9000000,沖縄県那覇市以下に掲載がない場合,26.199562,127.691306
1,9010154,沖縄県那覇市赤嶺,26.1954,127.662876
2,9000002,沖縄県那覇市曙,26.239992,127.682645
3,9020067,沖縄県那覇市安里,26.220181,127.696607
4,9000029,沖縄県那覇市旭町,26.20947,127.676677
5,9010143,沖縄県那覇市安次嶺,26.236112,127.690279
6,9000003,沖縄県那覇市安謝,26.236112,127.690279
7,9000005,沖縄県那覇市天久,26.231555,127.691517
8,9000021,沖縄県那覇市泉崎,26.209001,127.680472
9,9000011,沖縄県那覇市上之屋,26.227585,127.688016
10,9010153,沖縄県那覇市宇栄原,26.184452,127.665806
11,9020073,沖縄県那覇市上間,26.200909,127.708851
12,9000026,沖縄県那覇市奥武山町,26.204514,127.675171
13,9010148,沖縄県那覇市大嶺,26.199562,127.691306
14,9000006,沖縄県那覇市おもろまち,26.228821,127.694567
15,9010152,沖縄県那覇市小禄,26.191872,127.67409
16,9010142,沖縄県那覇市鏡水,26.198096,127.678544
17,9000028,沖縄県那覇市垣花町,26.204944,127.671443
18,9010155,沖縄県那覇市金城,26.203394,127.665944
19,9010151,沖縄県那覇市鏡原町,26.198096,127.678544
20,9010146,沖縄県那覇市具志,26.182113,127.659451
21,9000033,沖縄県那覇市久米,26.215825,127.673038
22,9000015,沖縄県那覇市久茂地,26.215476,127.682265
23,9020075,沖縄県那覇市国場,26.199562,127.691306
24,9000024,沖縄県那覇市古波蔵,26.199562,127.691306
25,9020078,沖縄県那覇市識名,26.20333,127.710612
26,9030813,沖縄県那覇市首里赤田町,26.214146,127.726126
27,9030811,沖縄県那覇市首里赤平町,26.223856,127.720962
28,9030824,沖縄県那覇市首里池端町,26.220371,127.716075
29,9030804,沖縄県那覇市首里石嶺町,26.232425,127.733362
30,9030823,沖縄県那覇市首里大中町,26.221628,127.71648
31,9030802,沖縄県那覇市首里大名町,26.231515,127.721468
32,9030815,沖縄県那覇市首里金城町,26.212956,127.719276
33,9030821,沖縄県那覇市首里儀保町,26.22369,127.718837
34,9030807,沖縄県那覇市首里久場川町,26.225692,127.721479
35,9030814,沖縄県那覇市首里崎山町,26.212626,127.72456
36,9030826,沖縄県那覇市首里寒川町,26.217332,127.711456
37,9030801,沖縄県那覇市首里末吉町,26.229062,127.708778
38,9030803,沖縄県那覇市首里平良町,26.228652,127.718044
39,9030806,沖縄県那覇市首里汀良町,26.220656,127.723729
40,9030812,沖縄県那覇市首里当蔵町,26.220132,127.720649
41,9030822,沖縄県那覇市首里桃原町,26.223606,127.713986
42,9030805,沖縄県那覇市首里鳥堀町,26.216833,127.725986
